,v,R,T,kv_C,kv_Cr,kv_Mo,kv_V,clstar_C,clstar_Cr,clstar_Mo,clstar_V
423,0.21155000000000018,1.632350348181752e-08,1594.307390112444,0.44074671103946755,0.9064011231865219,0.7192033695595653,0.5554053351359785,0.05123180639984816,0.007266627492220794,0.0337107500360905,0.018166123950652344
424,0.21205000000000018,1.6307696332400033e-08,1594.2188185998355,0.44103736812016014,0.9064497687230394,0.7193493061691182,0.5556364014344369,0.05123362559320284,0.007266662492864396,0.03371127732642065,0.018166608842265227
425,0.21255000000000018,1.6291950107466166e-08,1594.1303610033326,0.4413277232351567,0.906498363721365,0.7194950911640954,0.5558672276764844,0.051235427074323915,0.007266697150613729,0.033711799462242086,0.01816708900439649
426,0.21305000000000018,1.6276264439299332e-08,1594.0420169213198,0.4416177768547843,0.9065469082602149,0.7196407247806449,0.556097814236021,0.051237210932781045,0.007266731467254146,0.03371231647012105,0.018167564461166706
427,0.21355000000000018,1.6260638966374096e-08,1593.9537859467823,0.44190752944839407,0.9065954024181414,0.7197862072544239,0.556328161486171,0.05123897725886851,0.007266765444583912,0.033712828376823774,0.0181680352368855
428,0.21405000000000018,1.6245073326295548e-08,1593.8656676860337,0.4421969814843629,0.9066438462735334,0.7199315388206006,0.5565582697992844,0.05124072614072702,0.007266799084358844,0.03371333520848244,0.01816850135528447
429,0.21455000000000019,1.6229567162821274e-08,1593.7776617398536,0.44248613343009696,0.9066922399046189,0.7200767197138562,0.5567881395469391,0.05124245766724271,0.007266832388348084,0.033713836991435424,0.018168962840289907
430,0.21505000000000019,1.6214120125828843e-08,1593.689767703427,0.44277498575203367,0.9067405833894618,0.7202217501683852,0.5570177710999431,0.051244171928056234,0.007266865358334295,0.033714333752230104,0.01816941971602526
431,0.21555000000000019,1.6198731859604285e-08,1593.6019851975898,0.443063538915644,0.9067888768059654,0.7203666304178965,0.5572471648283362,0.05124586900876193,0.00726689799602133,0.03371482551623171,0.018169872005531662
432,0.2160500000000002,1.6183402019201174e-08,1593.5143138249261,0.44335179338543557,0.906837120231872,0.7205113606956163,0.5574763211013923,0.051247548997653714,0.007266930303163989,0.03371531230957832,0.018170319732565915
433,0.2165500000000002,1.6168130258729375e-08,1593.4267532010158,0.44363974962495484,0.9068853137447624,0.720655941234287,0.557705240287621,0.051249211980924046,0.007266962281475701,0.033715794157789775,0.018170762920320948
434,0.2170500000000002,1.6152916236015052e-08,1593.339302941846,0.44392740809678927,0.9069334574220567,0.7208003722661703,0.5579339227547697,0.051250858044598106,0.007266993932665735,0.03371627108632823,0.018171201591941372
435,0.2175500000000002,1.613775961025321e-08,1593.2519626700064,0.4442147692625705,0.9069815513410161,0.720944654023048,0.5581623688698258,0.051252487273582004,0.007267025258420903,0.03371674312032254,0.018171635770269888
436,0.2180500000000002,1.6122660044323172e-08,1593.16473200837,0.4445018335829762,0.9070295955787409,0.7210887867362225,0.5583905789990188,0.051254099752634105,0.0072670562604242595,0.03371721028484978,0.01817206547810617
437,0.2185500000000002,1.6107617204768506e-08,1593.0776105800326,0.44478860151773275,0.9070775902121728,0.7212327706365185,0.5586185535078211,0.051255695566374194,0.007267086940355281,0.03371767260493806,0.018172490738209368
438,0.2190500000000002,1.6092630761777045e-08,1592.9905980082553,0.4450750735256179,0.9071255353180949,0.7213766059542852,0.5588462927609514,0.051257274799292527,0.007267117299890056,0.03371813010556916,0.018172911573300542
439,0.2195500000000002,1.6077700384524437e-08,1592.9036939289092,0.445361250064463,0.907173430973132,0.7215202929193957,0.5590737971223765,0.05125883753383796,0.007267147340664538,0.033718582811124886,0.018173328005553258
440,0.2200500000000002,1.6062825750440907e-08,1592.8168979654063,0.44564713159115515,0.9072212772537498,0.7216638317612494,0.5593010669553117,0.051260383854269724,0.007267177064348609,0.033719030746502926,0.01817374005762003
441,0.2205500000000002,1.604800653128589e-08,1592.7302097661466,0.44593271856164035,0.9072690742362579,0.7218072227087734,0.5595281026222245,0.05126191384090389,0.007267206472535483,0.033719473935450314,0.0181741477510992
442,0.2210500000000002,1.603324240935508e-08,1592.643628960709,0.4462180114309254,0.9073168219968076,0.7219504659904229,0.5597549044848361,0.05126342757684494,0.0072672355668711285,0.033719912402513534,0.018174551108328767
443,0.2215500000000002,1.6018533063570328e-08,1592.5571551972898,0.44650301065308023,0.907364520611394,0.7220935618341825,0.5599814729041224,0.05126492514223341,0.007267264348943693,0.03372034617137233,0.018174950150853606
444,0.2220500000000002,1.600387818333869e-08,1592.4707881051615,0.44678771668124073,0.9074121701558561,0.7222365104675686,0.5602078082403169,0.05126640662001403,0.007267292820394392,0.033720775266510544,0.01817534490096249
445,0.2225500000000002,1.598927745005713e-08,1592.3845273445866,0.44707212996761103,0.9074597707058764,0.7223793121176291,0.5604339108529125,0.05126787208826701,0.0072673209827701256,0.033721199710995076,0.018175735379644762
446,0.2230500000000002,1.5974730557877838e-08,1592.2983725505542,0.4473562509634655,0.9075073223369816,0.722521967010945,0.560659781100663,0.05126932162885276,0.007267348837689635,0.03372161952897982,0.018176121608893793
447,0.2235500000000002,1.596023719523655e-08,1592.2123233826787,0.44764008011915163,0.9075548251245443,0.7226644753736327,0.560885419341585,0.051270755319745204,0.007267376386696168,0.03372203474348521,0.018176503609664225
448,0.2240500000000002,1.594579705637241e-08,1592.1263794939273,0.4479236178840923,0.9076022791437812,0.7228068374313434,0.5611108259329605,0.051272173239837064,0.007267403631349844,0.03372244537779016,0.018176881403152392
449,0.2245500000000002,1.5931409839002016e-08,1592.0405405368126,0.44820686470678783,0.9076496844697552,0.7229490534092659,0.5613360012313376,0.05127357546798833,0.007267430573209373,0.03372285145515646,0.018177255010542803
450,0.2250500000000002,1.5917075244301203e-08,1591.9548061633454,0.44848982103481877,0.9076970411773755,0.7230911235321267,0.5615609455925338,0.05127496208303405,0.007267457213832209,0.03372325299883119,0.01817762445301027
451,0.2255500000000002,1.5902792970007854e-08,1591.8691760436866,0.44877248731484815,0.9077443493413972,0.7232330480241916,0.5617856593716366,0.051276333160918126,0.0072674835547194986,0.033723650031216766,0.018177989750956285
452,0.2260500000000002,1.5888562719598975e-08,1591.783649841147,0.4490548639926234,0.9077916090364223,0.7233748271092669,0.5620101429230061,0.051277688778535155,0.007267509597389911,0.03372404257498364,0.018178350925032664
453,0.2265500000000002,1.5874384204551562e-08,1591.6982272059129,0.4493369515129794,0.9078388203369004,0.723516461010701,0.5622343966002765,0.05127902901469456,0.00726753534339815,0.03372443065334949,0.018178707996398445
454,0.2270500000000002,1.5860257128296038e-08,1591.6129078186284,0.44961875031984044,0.9078859833171282,0.7236579499513844,0.5624584207563585,0.05128035394342436,0.00726756079420634,0.033724814288140344,0.018179060984935862
455,0.2275500000000002,1.584618120224403e-08,1591.5276913467076,0.44990026085622226,0.9079330980512506,0.7237992941537518,0.5626822157434404,0.05128166364068388,0.00726758595131298,0.03372519350173446,0.01817940991103885
456,0.2280500000000002,1.5832156141184807e-08,1591.4425774567594,0.450181483564235,0.907980164613261,0.7239404938397833,0.5629057819129901,0.05128295818245495,0.007267610816216289,0.03372556831650963,0.018179754795104495
457,0.2285500000000002,1.581818165870642e-08,1591.3575658269958,0.4504624188850852,0.9080271830770018,0.7240815492310052,0.5631291196157581,0.05128423764283576,0.0072676353903776015,0.0337259387542914,0.01818009565702527
458,0.2290500000000002,1.5804257471756393e-08,1591.2726561347206,0.45074306725907776,0.9080741535161636,0.7242224605484909,0.5633522292017773,0.05128550209596304,0.007267659675258297,0.033726304836909735,0.018180432516701144
459,0.2295500000000002,1.5790383302901474e-08,1591.1878480500632,0.45102342912561894,0.9081210760042878,0.7243632280128631,0.5635751110203665,0.05128675161697524,0.007267683672338307,0.03372666658647791,0.018180765394296246
460,0.2300500000000002,1.5776558868926675e-08,1591.1031412670523,0.4513035049232183,0.9081679506147646,0.7245038518442938,0.5637977654201317,0.05128798627723828,0.007267707383024433,0.03372702402401043,0.01818109430896698
461,0.2305500000000002,1.5762783899041035e-08,1591.0185354537775,0.4515832950894907,0.9082147774208352,0.7246443322625057,0.5640201927489675,0.05128920615200325,0.0072677308087974206,0.03372737717164004,0.018181419280902115
462,0.2310500000000002,1.574905811665441e-08,1590.934030302133,0.45186280006115903,0.9082615564955914,0.7247846694867744,0.5642423933540595,0.05129041131276388,0.007267753951065198,0.033727726050405304,0.018181740329286846
463,0.2315500000000002,1.5735381250744967e-08,1590.8496254966528,0.4521420202740564,0.908308287911976,0.724924863735928,0.5644643675818859,0.05129160183204467,0.007267776811254834,0.03372807068163682,0.018182057473578365
464,0.2320500000000002,1.572175302903216e-08,1590.7653207331307,0.4524209561631282,0.9083549717427829,0.7250649152283488,0.5646861157782191,0.05129277778054073,0.007267799390757633,0.03372841108612941,0.018182370732743987
465,0.2325500000000002,1.570817318703985e-08,1590.6811156937,0.45269960816243454,0.9084016080606586,0.7252048241819755,0.5649076382881278,0.05129393923094632,0.007267821691002642,0.03372874728525033,0.018182680126281048
466,0.2330500000000002,1.5694641456745567e-08,1590.5970100778788,0.45297797670515244,0.9084481969381009,0.7253445908143026,0.565128935455979,0.05129508625318548,0.007267843713365096,0.03372907929955888,0.018182985672946444
467,0.2335500000000002,1.568115757563791e-08,1590.5130035776594,0.45325606222357795,0.9084947384474606,0.7254842153423822,0.5653500076254385,0.05129621891823964,0.007267865459239911,0.033729407149914396,0.018183287391776284
468,0.2340500000000002,1.5667721282172627e-08,1590.4290958898966,0.45353386514912863,0.908541232660942,0.7256236979828261,0.5655708551394747,0.05129733729624423,0.007267886930005147,0.03372973085692538,0.018183585301578896
469,0.2345500000000002,1.5654332315766493e-08,1590.3452867162614,0.4538113859123458,0.9085876796506019,0.7257630389518055,0.5657914783403586,0.051298441456496015,0.007267908127022164,0.03373005044095168,0.018183879420936796
470,0.2350500000000002,1.5640990419046427e-08,1590.2615757569886,0.45408862494289637,0.9086340794883508,0.7259022384650525,0.5660118775696665,0.05129953146841413,0.007267929051654071,0.03373036592238282,0.01818416976846275
471,0.2355500000000002,1.562769533783383e-08,1590.1779627108383,0.45436558266957544,0.9086804322459542,0.7260412967378622,0.5662320531682817,0.05130060740154607,0.007267949705265855,0.03373067732163968,0.018184456362801357
472,0.2360500000000002,1.561444681437491e-08,1590.0944472936737,0.4546422595203084,0.9087267379950308,0.7261802139850921,0.5664520054763958,0.05130166932271368,0.0072679700891696035,0.03373098465834865,0.0181847392218689
473,0.2365500000000002,1.5601244600850812e-08,1590.0110292011814,0.454918655922153,0.9087729968070548,0.7263189904211647,0.5666717348335107,0.051302717301741074,0.007267990204734456,0.033731287952999435,0.018185018364379073
474,0.2370500000000002,1.5588088445848185e-08,1589.9277081460675,0.4551947723013019,0.9088192087533559,0.7264576262600679,0.5668912415784408,0.051303751405739756,0.007268010053276919,0.03373158722529117,0.018185293808320794
475,0.2375500000000002,1.557497810110957e-08,1589.844483839401,0.4554706090830845,0.9088653739051188,0.7265961217153564,0.5671105260493141,0.051304771701975733,0.007268029636115907,0.03373188249496224,0.018185565571721896
476,0.2380500000000002,1.5561913319274438e-08,1589.7613559967735,0.4557461666919691,0.9089114923333839,0.7267344770001518,0.5673295885835737,0.05130577825692281,0.007268048954554579,0.03373217378151644,0.018185833672397032
477,0.2385500000000002,1.5548893856115498e-08,1589.6783243320633,0.4560214455515655,0.9089575641090487,0.7268726923271459,0.5675484295179809,0.051306771137221444,0.0072680680098987475,0.03373246110450045,0.01818609812820307
478,0.2390500000000002,1.553591947052375e-08,1589.5953885573974,0.45629644608462677,0.9090035893028665,0.7270107679085993,0.5677670491886154,0.05130775040968433,0.007268086803456995,0.03373274448350558,0.01818635895704062
479,0.2395500000000002,1.5522989920017345e-08,1589.5125483955096,0.4565711687130515,0.9090495679854479,0.7271487039563438,0.5679854479308777,0.051308716139398435,0.007268105336504252,0.03373302393761857,0.01818661617634854
480,0.2400500000000002,1.5510104967454435e-08,1589.4298035611098,0.456845613857886,0.9090955002272612,0.7272865006817838,0.5682036260794909,0.051309668392587056,0.007268123610336734,0.03373329948624988,0.018186869803866253
481,0.2405500000000002,1.5497264374305892e-08,1589.3471537794344,0.45711978193932673,0.9091413860986322,0.7274241582958964,0.5684215839685024,0.05131060723376043,0.007268141626217263,0.03373357114830923,0.018187119856874868
482,0.2410500000000002,1.5484467902891893e-08,1589.2645987800088,0.45739367337672177,0.9091872256697442,0.7275616770092326,0.5686393219312851,0.05131153272667422,0.007268159385393677,0.033733838942483045,0.018187366352452494
483,0.2415500000000002,1.5471715323068967e-08,1589.1821382780415,0.4576672885885735,0.90923301901064,0.7276990570319198,0.5688568403005396,0.05131244493718811,0.007268176889153678,0.033734102888061626,0.01818760930823563
484,0.2420500000000002,1.5459006401052602e-08,1589.099772005342,0.4579406279925408,0.9092787661912203,0.7278362985736607,0.5690741394082961,0.05131334392851613,0.007268194138733712,0.03373436300356491,0.018187848741154134
485,0.2425500000000002,1.5446340906111838e-08,1589.0174996917106,0.4582136920054406,0.9093244672812453,0.7279734018437358,0.5692912195859151,0.05131422976408597,0.0072682111353738294,0.0337346193075699,0.01818808466819285
486,0.2430500000000002,1.5433718608329772e-08,1588.9353210710913,0.4584864810432506,0.9093701223503348,0.7281103670510045,0.5695080811640905,0.05131510250659406,0.007268227880299566,0.033734871818437276,0.01818831710613991
487,0.2435500000000002,1.5421139283045474e-08,1588.8532358691684,0.45875899552111127,0.9094157314679685,0.7282471944039053,0.5697247244728499,0.0513159622199111,0.007268244374758512,0.03373512055486283,0.018188546072094313
488,0.2440500000000002,1.5408602704165983e-08,1588.7712438218869,0.4590312358533274,0.9094612947034857,0.7283838841104572,0.5699411498415573,0.051316808966237304,0.007268260619965736,0.03373536553505442,0.018188771582708263
489,0.2445500000000002,1.5396108648610227e-08,1588.6893446630484,0.4593032024533709,0.9095068121260873,0.7285204363782616,0.5701573575989142,0.05131764280800804,0.00726827661714035,0.0337356067772834,0.018188993654694747
